Altitude (m)	Pressure (Pa)
11361.27624	21380
11363.33089	21373
11363.62446	21365
11362.74379	21368
11364.79884	21365
11363.91804	21367
11365.09246	21365
11366.56073	21359
11367.73555	21357
11366.56073	21366
11366.56073	21358
11366.85442	21364
11365.67973	21362
11365.38609	21352
11367.73555	21358
11373.31839	21340
11370.96723	21340
11372.43662	21336
11374.78823	21340
11374.49424	21335
11374.49424	21333
11372.43662	21332
11375.67026	21327
11378.31697	21316
11382.1416	21306
11381.84733	21309
11383.61311	21301
11382.43588	21301
11382.1416	21306
11386.55697	21283
11388.91287	21283
11394.511	21260
11402.17816	21239
11404.53882	21222
11408.08116	21213
11409.2623	21213
11413.69318	21200
11413.10224	21192
11412.21593	21203
11411.32972	21209
11410.44362	21208
11411.62512	21216
11408.96699	21209
11411.92052	21208
11411.92052	21205
11412.21593	21201
11411.32972	21200
11413.98866	21194
11415.76179	21190
11416.9441	21190
11418.71791	21185
11417.23971	21186
11455.76509	21052
11444.1873	21096
11441.51796	21109
11429.66539	21152
11427.00106	21152
11427.00106	21161
11426.40911	21152
11427.59305	21156
11424.33765	21161
11423.74591	21164
11419.90067	21168
11421.37938	21179
11420.78786	21166
11424.63354	21170
11423.15421	21169
11426.11316	21157
11425.81721	21157
11426.40911	21156
11426.40911	21154
11432.33063	21144
11429.36931	21143
11434.70051	21130
11434.40424	21128
11437.3675	21120
11437.07112	21121
11437.96028	21123
11438.84955	21108
11439.44245	21112
11441.51796	21103
11441.81451	21108
11441.81451	21103
11443.59404	21097
11443.29742	21102
11445.37397	21098
11445.37397	21092
11447.15431	21095
11445.07728	21092
11450.41934	21079
11452.20085	21070
11453.38874	21067
11453.98276	21059
11455.76509	21066
11456.95354	21057
11465.87272	21019
11475.9936	20988
11478.97285	20977
11607.87912	20514
11590.62691	20600
11592.13872	20604
11584.58267	20620
11599.09685	20577
11598.18891	20580
11558.04421	20707
11565.8756	20681
11531.29687	20829
11523.20083	20837
11507.93146	20876
11507.63236	20885
11508.52969	20885
11481.65517	20966
11477.48308	20980
11477.78101	20983
11482.54948	20968
11483.74205	20960
11487.6192	20947
11502.25059	20885
11564.06765	20744
11596.67591	20568
11679.72427	20324
11697.7911	20241
11665.97302	20362
11597.58367	20596
11583.37439	20636
11584.58267	20626
11583.9785	20622
11588.51089	20615
11608.48516	20551
11596.97849	20622
11579.75068	20644
11576.12869	20660
11554.73333	20749
11523.80025	20829
11509.12797	20873
11511.2223	20869
11513.61652	20860
11514.8139	20863
11516.90978	20866
11515.71207	20860
11514.51454	20856
11514.8139	20858
11516.3109	20850
11524.09997	20829
11525.89857	20824
11527.99746	20810
11538.5005	20779
11580.05259	20636
11630.03073	20473
11633.07017	20472
11612.72881	20549
11617.88495	20480
11632.76617	20459
11638.5442	20453
11647.98085	20415
11652.85592	20408
11654.98974	20395
11660.47942	20371
11676.36058	20322
11656.81919	20388
11654.68487	20408
